GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
80,0.0,0.0,0.0,0.0,0.0,0.0,336465463.7234,-236157.859,0.0,0.0,nan,0.0,336229305.86439997,nan,nan
81,0.0,0.0,0.0,0.0,0.0,0.0,335190477.6309,-236013.7974,0.0,0.0,nan,0.0,334954463.8335,nan,nan
82,0.0,0.0,0.0,0.0,0.0,0.0,337433179.218,-236195.3073,0.0,0.0,nan,0.0,337196983.9107,nan,nan
83,0.0,0.0,0.0,0.0,0.0,0.0,336598029.6085,-236061.8511,0.0,0.0,nan,0.0,336361967.7574,nan,nan
84,0.0,0.0,0.0,0.0,0.0,0.0,337431762.842,-235995.3939,0.0,0.0,nan,0.0,337195767.44810003,nan,nan
85,0.0,0.0,0.0,0.0,0.0,0.0,337580570.9782,-236072.6145,0.0,0.0,nan,0.0,337344498.36370003,nan,nan
86,0.0,0.0,0.0,0.0,0.0,0.0,337958812.109,-236121.2912,0.0,0.0,nan,0.0,337722690.81780005,nan,nan
87,0.0,0.0,0.0,0.0,0.0,0.0,336959692.3429,-236433.7029,0.0,0.0,nan,0.0,336723258.64,nan,nan
88,0.0,0.0,0.0,0.0,0.0,0.0,337523051.726,-236329.2107,0.0,0.0,nan,0.0,337286722.51530004,nan,nan
89,0.0,0.0,0.0,0.0,0.0,0.0,336947947.1538,-236114.4835,0.0,0.0,nan,0.0,336711832.6703,nan,nan
90,0.0,0.0,0.0,0.0,0.0,0.0,338208844.3958,-235799.6875,0.0,0.0,nan,0.0,337973044.7083,nan,nan
91,0.0,0.0,0.0,0.0,0.0,0.0,337697732.4713,-235862.2738,0.0,0.0,nan,0.0,337461870.1975,nan,nan
92,0.0,0.0,0.0,0.0,0.0,0.0,336952732.7369,-235814.5483,0.0,0.0,nan,0.0,336716918.18859994,nan,nan
93,0.0,0.0,0.0,0.0,0.0,0.0,337307324.2787,-235810.5889,0.0,0.0,nan,0.0,337071513.68979996,nan,nan
94,0.0,0.0,0.0,0.0,0.0,0.0,337497251.3712,-235918.5278,0.0,0.0,nan,0.0,337261332.8434,nan,nan
