smile,PfDHFR,PfATP4,PfCRT,rrs_score,rrs_class
C=C(CCO)c1ccc2c(c1OC)OCO2,-7.8,-5.2,-7.3,7.55,B
COc1cc(CCO)c(OC)c2c1OCO2,-8.3,-5.2,-7.2,7.75,B
COc1cc(CC#N)c(OC)c2c1OCO2,-8.0,-4.9,-7.1,7.55,B
COc1cc(C[C@@H](O)CO)c(OC)c2c1OCO2,-8.7,-5.8,-7.4,8.05,A
COc1cc(C[C@H](O)CO)c(OC)c2c1OCO2,-8.3,-5.7,-7.7,8.0,A
COc1cc(C(C)=O)c(OC)c2c1OCO2,-7.5,-4.9,-7.2,7.35,B
CCC(=O)c1cc(OC)c2c(c1OC)OCO2,-7.6,-5.1,-7.5,7.55,B
COc1cc(C(N)=O)c(OC)c2c1OCO2,-8.1,-5.2,-7.1,7.6,B
COC(=O)c1cc(OC)c2c(c1OC)OCO2,-7.7,-5.1,-7.1,7.4,B
COc1cc(C[C@@H](O)CO)cc2c1OCO2,-8.3,-5.5,-7.7,8.0,A
COc1cc(C[C@H](O)CO)cc2c1OCO2,-8.2,-5.4,-7.9,8.05,A
COc1c(C[C@H](O)CO)cc2c(c1OC)OCO2,-8.3,-5.5,-7.1,7.7,B
C=Cc1cc2c(c(C(=O)OC)c1)OCO2,-7.8,-5.0,-7.9,7.85,B
C=C(c1ccc2c(c1OC)OCO2)[C@@H](C)O,-7.6,-5.1,-7.3,7.449999999999999,B
C/C=C/c1cc(OC)c2c(c1)OCO2,-7.3,-4.7,-7.6,7.449999999999999,B
C/C=C\c1cc(OC)c2c(c1)OCO2,-7.3,-4.8,-7.6,7.449999999999999,B
CCC(=O)c1cc(OC)c2c(c1)OCO2,-8.2,-5.1,-7.6,7.899999999999999,B
COC(=O)c1cc(OC)c2c(c1)OCO2,-7.8,-5.3,-7.3,7.55,B
CCC=Cc1ccc2c(c1OC)OCO2,-7.2,-4.8,-7.6,7.4,B
CCOC(=O)c1cc2c(cc1OC)OCO2,-8.2,-4.8,-7.0,7.6,B
C=Cc1ccc(C(=O)OCC)c2c1OCO2,-7.1,-5.0,-7.6,7.35,B
C/C=C(\C)c1cc2c(c(C(=O)OC)c1)OCO2,-7.9,-5.5,-8.7,8.3,A
COC(=O)c1cc2c(c(OC(C)C)c1)OCO2,-7.4,-5.2,-7.9,7.65,B
